DR Number,Date Reported,Date Occurred,Time Occurred,Area ID,Area Name,Reporting District,Crime Code,Crime Code Description,MO Codes,Victim Age,Victim Sex,Victim Descent,Premise Code,Premise Description,Address,Cross Street,Location,Zip Codes,Census Tracts,Precinct Boundaries,LA Specific Plans,Council Districts,Neighborhood Councils (Certified)
191320178,10/09/2019,10/09/2019,0005,13,Newton,1371,997,TRAFFIC COLLISION,3701 0605 3101 3401 3004 3029 3026,48,M,H,101,STREET,SLAUSON,BROADWAY,"(33.9892, -118.2783)",23668,746,988,7,13,
191227797,11/27/2019,11/27/2019,0005,12,77th Street,1266,997,TRAFFIC COLLISION,4012 3034 3037 3026 3029 3101 0605,34,M,O,101,STREET,82ND                         ST,FIGUEROA                     ST,"(33.9651, -118.2827)",23675,782,1005,7,14,45
192016689,09/12/2019,09/12/2019,0005,20,Olympic,2042,997,TRAFFIC COLLISION,3004 3026 3029 3035 3036 3101 3401 3701 4027,44,M,K,101,STREET,9TH                          ST,ST ANDREWS                   PL,"(34.0559, -118.3112)",22722,611,888,,7,86
190128385,12/03/2019,11/27/2019,0005,01,Central,0158,997,TRAFFIC COLLISION,3034 3101 3401 3701 3011,99,M,W,101,STREET,CENTRAL                      AV,CERES                        AV,"(34.0416, -118.2398)",23074,537,1018,,9,76
191016051,10/05/2019,10/05/2019,0005,10,West Valley,1077,997,TRAFFIC COLLISION,,31,F,W,101,STREET,VENTURA                      BL,LOUISE                       AV,"(34.1609, -118.5098)",4286,325,1498,6,6,62
200908620,04/19/2020,04/19/2020,0005,09,Van Nuys,0952,997,TRAFFIC COLLISION,3011 3037 3028 3039 3101 4026,42,M,W,101,STREET,SEPULVEDA                    BL,WEDDINGTON                   ST,"(34.1673, -118.4659)",19735,246,649,,7,83
190128706,12/07/2019,12/07/2019,0005,01,Central,0181,997,TRAFFIC COLLISION,3101 3401 3701 3004,54,F,K,101,STREET,FIGUEROA,12TH                         ST,"(34.0423, -118.2666)",23076,546,1227,34,13,76
202005057,01/24/2020,01/24/2020,0005,20,Olympic,2056,997,TRAFFIC COLLISION,3006 3028 3030 3035 3037 3101 3401 3701 4020,46,M,H,101,STREET,12TH                         ST,NEW HAMPSHIRE                AV,"(34.0491, -118.2926)",22723,620,1356,,11,8
201812687,06/18/2020,06/18/2020,0005,18,Southeast,1844,997,TRAFFIC COLLISION,4025 3037 3006 3028 3030 3101,30,M,O,101,STREET,BELHAVEN,112TH                        ST,"(33.9328, -118.2555)",24354,808,1193,7,15,
191224544,10/10/2019,10/10/2019,0005,12,77th Street,1245,997,TRAFFIC COLLISION,3037 3006 3028 3030 3101 0605,18,X,X,101,STREET,66TH                         ST,NORMANDIE,"(33.9792, -118.3003)",23678,772,1158,7,14,35
